y,x1,x2,x3,x4,x5,x6
282,R100 ,R135 ,15323.94,0.89,73581,5
286,R200 ,R222 ,14255.01,0.83,61242,9
288,R200 ,R209 ,22006.37,1.28,81474,9
289,R200 ,R222 ,14292.38,0.83,61433,9
290,R200 ,R239 ,18461.78,1.08,86772,9
291,R200 ,R232 ,13020.93,0.76,60322,9
293,R200 ,R244 ,13748.59,0.8,62694,9
294,R200 ,R219 ,21871.31,1.28,80926,9
296,R200 ,R231 ,14391.37,0.84,67705,9
298,R200 ,R240 ,16823.13,0.98,80350,9
299,R200 ,R209 ,13201.29,0.77,65771,9
300,R200 ,R261 ,12684.69,0.74,63788,9
301,R200 ,R206 ,3620001.02,211.14,83815,9
302,R200 ,R263 ,14625.95,0.85,63132,9
303,R200 ,R261 ,14815.02,0.86,64181,9
304,R200 ,R231 ,13578.56,0.79,64076,9
305,R200 ,R231 ,15078.17,0.88,66946,9
307,R200 ,R205 ,12927.6,0.75,76103,9
309,R200 ,R240 ,13776.63,0.8,64878,9
310,R200 ,R246 ,14322.45,0.84,67605,9
311,R200 ,R220 ,18370.87,1.07,60950,9
312,R200 ,R220 ,17400.32,1.01,74884,9
313,R200 ,R246 ,22900.55,1.34,72559,9
314,R200 ,R213 ,13669.59,0.8,62438,9
317,R200 ,R208 ,23051.67,1.34,64525,9
318,R200 ,R208 ,18353.7,1.07,78674,9
319,R300 ,R379 ,13809.68,0.81,72008,9
320,R200 ,R210 ,27109.95,1.58,86991,9
321,R200 ,R210 ,16997.32,0.99,73450,9
322,R200 ,R210 ,17208.92,1,64752,9
323,R200 ,R233 ,15363.32,0.9,80548,9
324,R200 ,R233 ,21284.51,1.24,86940,9
328,R200 ,R237 ,43726.31,2.55,70781,9
330,R200 ,R247 ,12027.58,0.7,68082,9
331,R200 ,R247 ,17419.86,1.02,66921,9
332,R200 ,R247 ,12368.4,0.72,65852,9
335,R300 ,R305 ,11422.19,0.67,66727,6
336,R200 ,R202 ,21101.16,1.23,71527,9
337,R200 ,R264 ,14635.59,0.85,66550,10
338,R200 ,R264 ,16602.57,0.97,76473,10
339,R200 ,R265 ,16888.18,0.99,58755,10
341,R200 ,R259 ,22173.45,1.29,76337,10
342,R200 ,R259 ,15013.57,0.88,71806,10
343,R200 ,R258 ,13540.57,0.79,75090,10
344,R200 ,R258 ,19060.47,1.11,74577,10
345,R200 ,R258 ,19543.35,1.14,76378,10
346,R200 ,R260 ,22555.49,1.32,82049,10
347,R100 ,R135 ,11678.05,0.68,65415,5
348,R200 ,R264 ,16714.12,0.97,65578,10
349,R200 ,R262 ,14038.88,0.82,66290,10
350,R100 ,R135 ,12169.44,0.71,65379,5
351,R100 ,R134 ,12084.35,0.7,66018,5
353,R100 ,R137 ,12788.3,0.75,62972,5
354,R100 ,R148 ,13587.71,0.79,76345,5
355,R100 ,R144 ,11952.45,0.7,66017,7
356,R300 ,R378 ,16005.66,0.93,69067,6
357,R300 ,R378 ,16083.17,0.94,82732,6
358,R200 ,R213 ,15717.28,0.92,67402,9
359,R200 ,R205 ,22621.42,1.32,67096,9
360,R100 ,R163 ,13269.87,0.77,74426,5
361,R100 ,R137 ,10869.13,0.63,61750,5
362,R200 ,R258 ,11993.62,0.7,66740,10
363,R300 ,R377 ,17075.5,1,66706,9
364,R100 ,R146 ,15159.91,0.88,66271,5
365,R100 ,R137 ,13262.49,0.77,66062,5
366,R100 ,R168 ,17256.12,1.01,65990,4
373,R300 ,R334 ,14656.24,0.85,80648,4
397,R100 ,R136 ,12922.53,0.75,67248,5
530,R100 ,R107 ,19923.38,1.16,103457,7
531,R100 ,R144 ,16151.47,0.94,84704,7
532,R100 ,R107 ,17833.54,1.04,98036,7
